frame_id,time,tx,ty,tz,roof_load,roof_impulse,roof_center_x,roof_center_y,side_x_load,side_y_load,side_x_impulse,side_y_impulse
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.08,0,0,0,0,0,0,0,0,0,0,0
2,0.16,0,0,0,0,0,0,0,0,0,0,0
3,0.24,0,0,0,0,0,0,0,0,0,0,0
4,0.32,0,0,0,0,0,0,0,0,0,0,0
5,0.4,0,0,0,0,0,0,0,0,0,0,0
6,0.48,0,0,0,0,0,0,0,0,0,0,0
7,0.56,0,0,0,0,0,0,0,0,0,0,0
8,0.64,0,0,0,0,0,0,0,0,0,0,0
9,0.72,0,0,0,0,0,0,0,0,0,0,0
10,0.8,0,0,0,0,0,0,0,0,0,0,0
11,0.88,0,0,0,0,0,0,0,0,0,0,0
12,0.96,0,0,0,0,0,0,0,0,0,0,0
13,1.04,0,0,0,0,0,0,0,0,0,0,0
14,1.12,0,0,0,0,0,0,0,0,0,0,0
15,1.2,0,0,0,0,0,0,0,0,0,0,0
16,1.28,0,0,0,0,0,0,0,0,0,0,0
17,1.36,0,0,0,0,0,0,0,0,0,0,0
18,1.44,0,0,0,0,0,0,0,0,0,0,0
19,1.52,0,0,0,0,0,0,0,0,0,0,0
20,1.6,0,0,0,0,0,0,0,0,0,0,0
21,1.68,0,0,0,0,0,0,0,0,0,0,0
22,1.76,0,0,0,0,0,0,0,0,0,0,0
23,1.84,0,0,0,0,0,0,0,0,0,0,0
24,1.92,0,0,0,0,0,0,0,0,0,0,0
25,2,0,0,0,0,0,0,0,0,0,0,0
26,2.08,0,0,0,0,0,0,0,0,0,0,0
27,2.16,0,0,0,0,0,0,0,0,0,0,0
28,2.24,0,0,0,0,0,0,0,0,0,0,0
29,2.32,0,0,0,0,0,0,0,0,0,0,0
30,2.4,0,0,0,0,0,0,0,0,0,0,0
31,2.48,0,0,0,0,0,0,0,0,0,0,0
32,2.56,0,0,0,0,0,0,0,0,0,0,0
33,2.64,0,0,0,0,0,0,0,0,0,0,0
34,2.72,0,0,0,0,0,0,0,0,0,0,0
35,2.8,0,0,0,0,0,0,0,0,0,0,0
36,2.88,0,0,0,0,0,0,0,0,0,0,0
37,2.96,0,0,0,0,0,0,0,0,0,0,0
38,3.04,0,0,0,0,0,0,0,0,0,0,0
39,3.12,0,0,0,0,0,0,0,0,0,0,0
40,3.2,0,0,0,1.53368e+06,54748.4,-0.0252655,-0.0506653,0,0,0,0
41,3.28,0,0,0,994305,6088.31,-0.010002,-0.0429483,0,0,0,0
42,3.36,0,0,0,19442.5,304.395,0.321039,-0.0380759,0,0,0,0
43,3.44,0,0,0,46538.2,1997.04,0.147233,-0.013833,0,0,0,0
44,3.52,0,0,0,48535.6,2322.1,-0.206392,-0.0422058,0,0,0,0
45,3.6,0,0,0,35129.3,1563.53,0.0364867,-0.0244236,0,0,0,0
46,3.68,0,0,0,27402.3,1539.85,-0.0975177,-0.0236532,0,0,0,0
47,3.76,0,0,0,23991,1397.17,0.0315928,-0.0406727,0,0,0,0
48,3.84,0,0,0,20480.7,1064.48,-0.0236413,-0.00538331,0,0,0,0
49,3.92,0,0,0,23515.7,1114.8,-0.111414,-0.000187594,0,0,0,0
50,4,0,0,0,24101.2,1183.11,0.0787821,-0.0192152,0,0,0,0
51,4.08,0,0,0,20057.6,1013.59,-0.0520551,-0.00987732,0,0,0,0
52,4.16,0,0,0,18035.4,1016.08,-0.0217379,-0.0229264,0,0,0,0
53,4.24,0,0,0,17961.7,1025.86,-0.0402634,0.00673441,0,0,0,0
54,4.32,0,0,0,17232.1,981.332,-0.0178451,0.00197722,0,0,0,0
55,4.4,0,0,0,17261,946.113,0.0417681,-0.00428694,0,0,0,0
56,4.48,0,0,0,17196.5,908.634,-0.0414722,-0.00503458,0,0,0,0
57,4.56,0,0,0,17240,994.71,-0.0290067,-0.0266857,0,0,0,0
58,4.64,0,0,0,17190.4,1008.13,-0.0511459,0.0195953,0,0,0,0
59,4.72,0,0,0,16473.2,982.44,-0.00701704,0.00321972,0,0,0,0
60,4.8,0,0,0,17188.4,945.17,0.0342729,-0.00061347,0,0,0,0
61,4.88,0,0,0,17931,911.063,-0.0373615,-0.0200978,0,0,0,0
62,4.96,0,0,0,16504.1,997.243,-0.0227832,-0.0195346,0,0,0,0
63,5.04,0,0,0,17930.5,999.328,-0.037257,0.0224835,0,0,0,0
64,5.12,0,0,0,16480.9,985.24,-0.031576,0.00330506,0,0,0,0
65,5.2,0,0,0,16446.8,951.002,0.0513469,-0.00160872,0,0,0,0
66,5.28,0,0,0,17189.9,913.732,-0.0409248,-0.023057,0,0,0,0
67,5.36,0,0,0,16446.8,979.201,-0.0238266,-0.0140667,0,0,0,0
68,5.44,0,0,0,17185.9,1007.7,-0.0410024,0.0188487,0,0,0,0
69,5.52,0,0,0,17932.5,987.973,-0.0284251,0.00751189,0,0,0,0
70,5.6,0,0,0,17186.8,950.885,0.0425719,-0.0137354,0,0,0,0
71,5.68,0,0,0,16503.1,916.502,-0.0340872,-0.0153928,0,0,0,0
72,5.76,0,0,0,17931.1,973.245,-0.0256154,-0.0100327,0,0,0,0
73,5.84,0,0,0,17906.8,1007.58,-0.0485688,0.021993,0,0,0,0
74,5.92,0,0,0,17906.3,990.649,-0.0254745,-0.0066409,0,0,0,0
75,6,0,0,0,17907,956.529,0.0518327,-0.00732099,0,0,0,0
76,6.08,0,0,0,16446.6,907.451,-0.0277558,-0.01227,0,0,0,0
77,6.16,0,0,0,17162.8,979.084,-0.0366736,-0.0141973,0,0,0,0
78,6.24,0,0,0,18649.7,1010.56,-0.0433699,0.0232967,0,0,0,0
79,6.32,0,0,0,17219.6,990.644,-0.0254858,-0.0066321,0,0,0,0
80,6.4,0,0,0,17162.9,950.582,0.0642156,-0.00631954,0,0,0,0
81,6.48,0,0,0,16446.6,904.477,-0.0451295,-0.0113989,0,0,0,0
82,6.56,0,0,0,17906.8,979.09,-0.0450301,-0.00763441,0,0,0,0
83,6.64,0,0,0,17190.3,1013.54,-0.040162,0.0093108,0,0,0,0
84,6.72,0,0,0,17190.8,996.594,-0.0161187,-0.000690843,0,0,0,0
85,6.8,0,0,0,17906.5,941.663,0.0599828,-0.00103201,0,0,0,0
86,6.88,0,0,0,17186.3,904.587,-0.0535653,-0.00780618,0,0,0,0
87,6.96,0,0,0,18651.4,979.222,-0.0460184,-0.0245788,0,0,0,0
88,7.04,0,0,0,17220.2,1022.49,-0.0265806,0.0175085,0,0,0,0
89,7.12,0,0,0,17931.7,987.89,-0.00991062,0.00221901,0,0,0,0
90,7.2,0,0,0,17226.1,947.923,0.0483669,-0.00539372,0,0,0,0
91,7.28,0,0,0,17190.5,904.701,-0.0524566,-0.00910997,0,0,0,0
92,7.36,0,0,0,17907.7,982.296,-0.0413627,-0.0218871,0,0,0,0
93,7.44,0,0,0,19395.7,1016.75,-0.0151695,0.0185764,0,0,0,0
94,7.52,0,0,0,17963.4,985.027,-0.0256627,0.00311367,0,0,0,0
95,7.6,0,0,0,17162.6,944.956,0.0358478,0.00411927,0,0,0,0
96,7.68,0,0,0,17935.2,907.678,-0.0493239,-0.0303022,0,0,0,0
97,7.76,0,0,0,17969.5,991.218,-0.0273809,-0.0131544,0,0,0,0
98,7.84,0,0,0,17935.7,1007.82,-0.0198111,0.0237517,0,0,0,0
99,7.92,0,0,0,17161.9,982.062,-0.0374838,0.00899481,0,0,0,0
100,8,0,0,0,17161.7,944.951,0.0341679,-0.0190672,0,0,0,0
